t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
1982,I Moderate,12514140,5724652602.489559,18.1063,15.6814,184975,96602564.49725485,0.2676,0.2646
1982,II Strong,2327723,994858739.341429,3.3679,2.7252,185426,94363198.0196169,0.2683,0.2585
1982,III Severe,281919,94802430.65189879,0.4079,0.2597,44549,24034571.74544776,0.0645,0.0658
1982,IV Extreme,62174,17816578.862622704,0.09,0.0488,12341,5270985.001459056,0.0179,0.0144
1983,I Moderate,15671615,7351963869.398308,22.6747,20.139,186403,98495999.66620973,0.2697,0.2698
1983,II Strong,3193836,1674585845.9957938,4.621,4.5871,193074,94027318.40551776,0.2794,0.2576
1983,III Severe,403483,195802842.20003515,0.5838,0.5364,51351,28231681.85750007,0.0743,0.0773
1983,IV Extreme,81758,25326141.581200536,0.1183,0.0694,16185,6890068.292525363,0.0234,0.0189
1984,I Moderate,13339218,4784211924.038896,19.3,13.1053,205655,108102477.9945301,0.2976,0.2961
1984,II Strong,2199124,643899435.81156075,3.1818,1.7638,171364,82088722.87058577,0.2479,0.2249
1984,III Severe,279186,71287381.8360269,0.4039,0.1953,36358,15873207.154825676,0.0526,0.0435
1984,IV Extreme,110445,20306147.8688522,0.1598,0.0556,14416,4356524.649861074,0.0209,0.0119
1985,I Moderate,10428563,3129030170.516664,15.0887,8.5713,175392,93424452.98960826,0.2538,0.2559
1985,II Strong,2009930,412346777.7777989,2.9081,1.1295,127755,47157174.312494166,0.1848,0.1292
1985,III Severe,243569,51907321.190466404,0.3524,0.1422,28581,8848471.892320015,0.0414,0.0242
1985,IV Extreme,87129,18053609.252156883,0.1261,0.0495,12337,3252432.2280306933,0.0178,0.0089
1986,I Moderate,9924156,3568958009.7849236,14.3589,9.7764,190191,96213969.40086089,0.2752,0.2636
1986,II Strong,1670898,448425170.5761371,2.4176,1.2284,104623,43564955.870508365,0.1514,0.1193
1986,III Severe,352070,86266248.33204472,0.5094,0.2363,22320,7506812.459899624,0.0323,0.0206
1986,IV Extreme,213176,52702944.961415485,0.3084,0.1444,18635,5425008.548315759,0.027,0.0149
1987,I Moderate,13021546,5940323474.10554,18.8404,16.2722,219319,118696639.3793537,0.3173,0.3251
1987,II Strong,1721093,608152931.0375706,2.4902,1.6659,159487,80068387.10639252,0.2308,0.2193
1987,III Severe,186256,53696049.84174328,0.2695,0.1471,28197,12078286.46645186,0.0408,0.0331
1987,IV Extreme,79523,17383758.446636777,0.1151,0.0476,9737,2879682.1960475245,0.0141,0.0079
1988,I Moderate,9174600,4585256004.238672,13.2744,12.5603,229942,127105121.79506764,0.3327,0.3482
1988,II Strong,1106106,459084282.2299563,1.6004,1.2576,135074,74621816.42507221,0.1954,0.2044
1988,III Severe,143833,38720723.66290056,0.2081,0.1061,20827,7737637.800821391,0.0301,0.0212
1988,IV Extreme,57734,12005896.483882826,0.0835,0.0329,9075,2200173.216604223,0.0131,0.006
1989,I Moderate,8901386,3664993110.952413,12.8791,10.0394,225381,109671848.34793423,0.3261,0.3004
