t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
1995,II Strong,1043524,441780301.7013838,1.5098,0.8642,143071,80431507.49222451,0.207,0.1573
1995,III Severe,145860,41272251.18996709,0.211,0.0807,18729,7284139.942604979,0.0271,0.0142
1995,IV Extreme,67924,16362380.768935462,0.0983,0.032,8699,2277539.1807378903,0.0126,0.0045
1996,I Moderate,10459871,5471135852.753299,15.134,10.7024,262027,142302956.69348943,0.3791,0.2784
1996,II Strong,975760,444049441.4063854,1.4118,0.8686,130476,69839036.47373459,0.1888,0.1366
1996,III Severe,97594,34424257.2372272,0.1412,0.0673,19552,8947424.635014115,0.0283,0.0175
1996,IV Extreme,24117,6723780.795163356,0.0349,0.0132,5034,1608298.256890007,0.0073,0.0031
1997,I Moderate,16481003,9688892049.717844,23.8458,18.9529,282444,148792760.0398,0.4087,0.2911
1997,II Strong,2836609,1886400737.4340937,4.1042,3.6901,188230,111729817.3940292,0.2723,0.2186
1997,III Severe,268349,167665540.0659252,0.3883,0.328,34809,21360621.478543177,0.0504,0.0418
1997,IV Extreme,43865,12460396.777091667,0.0635,0.0244,6762,2413233.216091563,0.0098,0.0047
1998,I Moderate,21466681,12665584771.163998,31.0594,24.7758,245304,121662769.20178443,0.3549,0.238
1998,II Strong,3410972,2076285614.0534358,4.9352,4.0615,238773,136903813.50989065,0.3455,0.2678
1998,III Severe,332645,181299721.34191963,0.4813,0.3546,43946,25855231.43900128,0.0636,0.0506
1998,IV Extreme,98656,29903899.647326916,0.1427,0.0585,12212,5184038.775227131,0.0177,0.0101
1999,I Moderate,11209306,6236534744.111256,16.2183,12.1996,251825,134033841.817705,0.3644,0.2622
1999,II Strong,898332,458055199.9609476,1.2998,0.896,140076,79250720.54186589,0.2027,0.155
1999,III Severe,59007,22139299.370414767,0.0854,0.0433,12317,5394908.405074997,0.0178,0.0106
1999,IV Extreme,18437,5486724.283960216,0.0267,0.0107,3647,1189064.9593454576,0.0053,0.0023
2000,I Moderate,12228007,5992807648.880038,17.6923,11.7228,257590,135460381.5756778,0.3727,0.265
2000,II Strong,1332712,556576079.0815396,1.9283,1.0887,188666,90944769.74810827,0.273,0.1779
2000,III Severe,143222,48101258.52734456,0.2072,0.0941,24554,9277646.97251881,0.0355,0.0181
2000,IV Extreme,81090,26360597.47078021,0.1173,0.0516,14193,4675646.196056141,0.0205,0.0091
2001,I Moderate,14940422,7795782481.544478,21.6168,15.2497,317354,159909510.67685667,0.4592,0.3128
2001,II Strong,1178038,596017473.0711168,1.7045,1.1659,185999,104122515.64741749,0.2691,0.2037
2001,III Severe,100878,38527016.44961545,0.146,0.0754,20857,10207147.858222917,0.0302,0.02
2001,IV Extreme,28649,8327151.924159654,0.0415,0.0163,5583,1815848.020084896,0.0081,0.0036
2002,I Moderate,17001487,8695392972.162357,24.5988,17.0095,312265,165759009.7921311,0.4518,0.3242
2002,II Strong,1565163,694664878.8397729,2.2646,1.3589,216580,115942171.26764636,0.3134,0.2268
2002,III Severe,146577,40882607.60712282,0.2121,0.08,22825,8752743.743710594,0.033,0.0171
2002,IV Extreme,70165,17336774.675949953,0.1015,0.0339,8088,1966695.5092811352,0.0117,0.0038
2003,I Moderate,17969015,9346524269.909485,25.9987,18.2832,350518,193393231.2315129,0.5072,0.3783
2003,II Strong,1407962,634146304.706066,2.0371,1.2405,175563,95976535.81450522,0.254,0.1877
2003,III Severe,112674,33090255.45492078,0.163,0.0647,16716,6539370.114455517,0.0242,0.0128
2003,IV Extreme,34729,7524439.716354299,0.0502,0.0147,5842,1407266.287321691,0.0085,0.0028
2004,I Moderate,14964677,8333148979.669473,21.6519,16.3009,313633,178831065.12099442,0.4538,0.3498
2004,II Strong,1122740,546245734.0992838,1.6245,1.0685,172591,95770966.49185586,0.2497,0.1873
2004,III Severe,66555,20991114.120604355,0.0963,0.0411,16245,6038075.896533137,0.0235,0.0118
2004,IV Extreme,15056,3624032.301701877,0.0218,0.0071,4286,1149293.2980915539,0.0062,0.0022
2005,I Moderate,22264035,11428113280.607658,32.213,22.3551,267079,159007100.23658353,0.3864,0.311
2005,II Strong,2948790,1036199935.1785754,4.2665,2.027,242803,138108045.48984966,0.3513,0.2702
2005,III Severe,685575,88129534.83642666,0.9919,0.1724,44822,13418570.244778182,0.0649,0.0262
2005,IV Extreme,338156,36656469.88907811,0.4893,0.0717,46855,5501863.50824557,0.0678,0.0108
2006,I Moderate,20405312,9933473592.070917,29.5237,19.4314,284269,170987998.8442898,0.4113,0.3345
2006,II Strong,3090423,878446172.4709631,4.4714,1.7184,213878,117863615.48247948,0.3095,0.2306
2006,III Severe,966514,102731598.61850266,1.3984,0.201,40077,10660475.035416666,0.058,0.0209
2006,IV Extreme,556103,58387422.41189199,0.8046,0.1142,49971,6210861.0932836,0.0723,0.0121
2007,I Moderate,17269355,8951435235.722712,24.9864,17.5104,291681,165850601.8795977,0.422,0.3244
2007,II Strong,1942536,663179325.3494209,2.8106,1.2973,165066,89636885.43250932,0.2388,0.1753
2007,III Severe,435650,85280110.49776854,0.6303,0.1668,25898,8864121.435164481,0.0375,0.0173
2007,IV Extreme,305021,55640748.74614595,0.4413,0.1088,18944,3645778.596827095,0.0274,0.0071
2008,I Moderate,16808176,9249921994.717705,24.3191,18.0942,274009,152223821.12383384,0.3965,0.2978
2008,II Strong,1502286,648583153.3482319,2.1736,1.2687,182463,98010672.0816811,0.264,0.1917
2008,III Severe,173699,48075072.32259485,0.2513,0.094,25379,10238950.979430018,0.0367,0.02
2008,IV Extreme,46814,9740604.856112873,0.0677,0.0191,7702,1987560.0520018465,0.0111,0.0039
2009,I Moderate,19851805,11950788464.357119,28.7229,23.3775,281594,175724527.48479593,0.4074,0.3437
2009,II Strong,1855993,923198924.8879234,2.6854,1.8059,199999,116313250.00255401,0.2894,0.2275
2009,III Severe,264988,89992930.89422543,0.3834,0.176,32150,14977905.786710508,0.0465,0.0293
2009,IV Extreme,534165,51057210.10838631,0.7729,0.0999,64209,7695086.967922151,0.0929,0.0151
2010,I Moderate,26873804,16626922693.490852,38.8827,32.5248,251598,138500523.36640498,0.364,0.2709
2010,II Strong,2702470,1551907755.1294985,3.9101,3.0358,243327,142191974.0829015,0.3521,0.2781
2010,III Severe,141711,61476420.298945844,0.205,0.1203,32336,17178293.962162174,0.0468,0.0336
2010,IV Extreme,33423,10046875.143491367,0.0484,0.0197,5354,1960371.8200540268,0.0077,0.0038
2011,I Moderate,20981994,11695452475.121548,30.3581,22.8781,231318,133889980.81546906,0.3347,0.2619
2011,II Strong,2176750,1053497657.740847,3.1495,2.0608,187258,101916148.8533321,0.2709,0.1994
2011,III Severe,202876,75045193.04116587,0.2935,0.1468,30864,13905785.273133703,0.0447,0.0272
2011,IV Extreme,75567,19046103.339953914,0.1093,0.0373,12404,3557864.486818096,0.0179,0.007
2012,I Moderate,22866775,11525132090.713135,33.0851,22.5449,249491,150915481.7315847,0.361,0.2952
2012,II Strong,3436324,1255506046.346316,4.9719,2.456,230148,118591711.05079462,0.333,0.232
2012,III Severe,492106,103333355.2302692,0.712,0.2021,42831,15407633.237831537,0.062,0.0301
2012,IV Extreme,308061,52314815.1032897,0.4457,0.1023,19839,4036760.307435314,0.0287,0.0079
2013,I Moderate,22191454,11706253806.031715,32.108,22.8992,273501,150169113.7700496,0.3957,0.2938
2013,II Strong,2929568,1239692921.4405243,4.2387,2.425,235616,132150844.95472908,0.3409,0.2585
2013,III Severe,348115,90239760.37701789,0.5037,0.1765,39774,16633716.608517842,0.0575,0.0325
2013,IV Extreme,192764,37143678.925034866,0.2789,0.0727,12217,2970423.0043062447,0.0177,0.0058
2014,I Moderate,28982629,16871694726.008911,41.9339,33.0036,216111,121890473.7654698,0.3127,0.2384
2014,II Strong,4362056,2277157068.0869308,6.3113,4.4545,263448,153219700.1454707,0.3812,0.2997
2014,III Severe,389980,140189424.1325912,0.5642,0.2742,49921,25834158.109680384,0.0722,0.0505
