t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
1982,I Moderate,17873921,11023088326.60656,25.8611,30.1953,126514,81231794.05756368,0.183,0.2225
1982,II Strong,3460811,1848700768.8540804,5.0073,5.0641,219743,139112037.50975424,0.3179,0.3811
1982,III Severe,819460,332136318.2379539,1.1856,0.9098,94084,53290523.9107819,0.1361,0.146
1982,IV Extreme,564777,190498565.71209455,0.8172,0.5218,65827,26552737.27798253,0.0952,0.0727
1982,V Ice,604205,124635703.53621951,0.8742,0.3414,61510,11888215.32579682,0.089,0.0326
1983,I Moderate,16039827,9994449969.426079,23.2074,27.3775,152231,97794183.83234848,0.2203,0.2679
1983,II Strong,2435134,1332813545.5617137,3.5233,3.6509,220444,139496583.27979416,0.319,0.3821
1983,III Severe,496728,200803016.93345433,0.7187,0.5501,66409,36335646.163153745,0.0961,0.0995
1983,IV Extreme,307387,100092200.78632426,0.4447,0.2742,46431,17647649.868144765,0.0672,0.0483
1983,V Ice,404646,91187007.40780291,0.5855,0.2498,42905,9601076.395954814,0.0621,0.0263
1984,I Moderate,15438923,9814076522.020039,22.338,26.8834,139457,88125296.32753667,0.2018,0.2414
1984,II Strong,2690404,1550275274.237108,3.8926,4.2466,217201,137041054.4945463,0.3143,0.3754
1984,III Severe,589278,259029087.84713152,0.8526,0.7096,86958,50671322.57641905,0.1258,0.1388
1984,IV Extreme,377260,130466125.9785626,0.5458,0.3574,57152,22647309.78162622,0.0827,0.062
1984,V Ice,351664,85928631.15152055,0.5088,0.2354,32973,8220803.0331975,0.0477,0.0225
1985,I Moderate,17067642,11081352804.277843,24.6946,30.3549,204829,129371821.94027297,0.2964,0.3544
1985,II Strong,1861875,1049949194.5157325,2.6939,2.8761,235872,150379922.53244227,0.3413,0.4119
1985,III Severe,296859,112213663.2559359,0.4295,0.3074,45388,22465833.17127713,0.0657,0.0615
1985,IV Extreme,195535,55957985.803537466,0.2829,0.1533,27103,9710831.133515393,0.0392,0.0266
1985,V Ice,332691,78220156.30547255,0.4814,0.2143,32819,7732438.4050154295,0.0475,0.0212
1986,I Moderate,16490281,10165769185.491673,23.8592,27.846800000000002,200090,125985284.75096801,0.2895,0.3451
1986,II Strong,1994547,1030408084.7426401,2.8858,2.8226,216006,132555954.4394288,0.3125,0.3631
1986,III Severe,369980,125692157.91749656,0.5353,0.3443,48680,22662178.909109194,0.0704,0.0621
1986,IV Extreme,156899,43203355.38826792,0.227,0.1183,28510,9386937.90942667,0.0413,0.0257
1986,V Ice,334132,63346257.62158849,0.4834,0.1735,31647,6218555.390976193,0.0458,0.017
1987,I Moderate,13419934,7866721507.032103,19.4168,21.5491,193666,122309328.3957297,0.2802,0.335
1987,II Strong,1817568,804626862.1030842,2.6298,2.2041,163400,98668072.47542506,0.2364,0.2703
