t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
1982,I Moderate,11999942,5485425893.661057,17.3623,15.0261,187848,95548078.68232188,0.2718,0.2617
1982,II Strong,2146629,1009886371.9016649,3.1059,2.7664,176215,91065404.00707826,0.255,0.2495
1982,III Severe,266163,95904038.66028282,0.3851,0.2627,43432,23671989.283211417,0.0628,0.0648
1982,IV Extreme,58085,17039740.558015034,0.084,0.0467,12399,5211537.341132017,0.0179,0.0143
1983,I Moderate,14937308,7015557945.733435,21.6123,19.2175,187213,98587667.85591595,0.2709,0.2701
1983,II Strong,3169060,1697077632.057974,4.5852,4.6488,184531,89121563.4622732,0.267,0.2441
1983,III Severe,407874,215932056.4137384,0.5901,0.5915,50973,27499819.42029522,0.0738,0.0753
1983,IV Extreme,78258,28634001.37104813,0.1132,0.0784,16985,7295946.402815131,0.0246,0.02
1984,I Moderate,12707168,4542451874.248122,18.3855,12.443,207221,108797718.06242971,0.2998,0.298
1984,II Strong,1953139,581571189.1018656,2.8259,1.5931,163941,78565351.290730685,0.2372,0.2152
1984,III Severe,256985,64448925.95895793,0.3718,0.1765,35177,14579042.915457752,0.0509,0.0399
1984,IV Extreme,105971,19073918.06889395,0.1533,0.0522,14072,4027242.820375054,0.0204,0.011
1985,I Moderate,9960358,2956171872.504364,14.4113,8.0978,175409,93425202.27940576,0.2538,0.2559
1985,II Strong,1933252,378862137.31694955,2.7972,1.0378,120215,44211869.83026588,0.1739,0.1211
1985,III Severe,245172,50166698.81998843,0.3547,0.1374,31145,8539585.039851554,0.0451,0.0234
1985,IV Extreme,81239,16820051.10328378,0.1175,0.0461,12580,3064927.68745588,0.0182,0.0084
1986,I Moderate,9331041,3365737233.439062,13.5007,9.2197,188567,94531090.57866925,0.2728,0.2589
1986,II Strong,1527777,418688818.49324995,2.2105,1.1469,101200,41686384.533106215,0.1464,0.1142
1986,III Severe,324529,80131202.68611696,0.4695,0.2195,21876,7306943.039121748,0.0317,0.02
1986,IV Extreme,199075,47171194.398899645,0.288,0.1292,18483,5209571.905547717,0.0267,0.0143
1987,I Moderate,12362566,5660371187.330043,17.887,15.5053,217967,117621893.14506547,0.3154,0.3222
1987,II Strong,1604339,553332142.3698435,2.3213,1.5157,153719,75958969.02148773,0.2224,0.2081
1987,III Severe,179233,48314767.26207386,0.2593,0.1323,27354,11222867.907487735,0.0396,0.0307
1987,IV Extreme,76895,15823044.107539268,0.1113,0.0433,9934,2789054.8549521966,0.0144,0.0076
1988,I Moderate,8644409,4265130248.082698,12.5073,11.6834,238396,128312273.44904797,0.3449,0.3515
1988,II Strong,996334,399916551.9046233,1.4416,1.0955,125748,67851752.46214002,0.1819,0.1859
1988,III Severe,135684,34332377.19347759,0.1963,0.094,19498,6715844.191284891,0.0282,0.0184
1988,IV Extreme,55178,10490303.70191911,0.0798,0.0287,9434,2102089.8757996205,0.0136,0.0058
1989,I Moderate,8436074,3544728387.487603,12.2059,9.71,223476,108343776.66238715,0.3233,0.2968
1989,II Strong,1007567,375737306.1994892,1.4578,1.0292,96094,47089297.39198733,0.139,0.129
1989,III Severe,145273,42341603.613971576,0.2102,0.116,18144,6745885.500938129,0.0263,0.0185
1989,IV Extreme,53584,14908560.235939538,0.0775,0.0408,8144,2363068.9985905415,0.0118,0.0065
1990,I Moderate,9441485,3696206697.154233,13.6605,10.1249,231120,123026272.22110347,0.3344,0.337
1990,II Strong,1184357,376052672.635345,1.7136,1.0301,124176,55406417.57575684,0.1797,0.1518
1990,III Severe,209240,49887180.431355625,0.3027,0.1367,24256,7742905.488017627,0.0351,0.0212
1990,IV Extreme,105960,26272876.81790129,0.1533,0.072,15201,3813071.816928086,0.022,0.0104
1991,I Moderate,10109205,4240961586.2696266,14.6266,11.6172,253185,136527482.99224162,0.3663,0.374
1991,II Strong,930658,341168614.53667665,1.3465,0.9346,143871,63048118.28203767,0.2082,0.1727
1991,III Severe,101260,31752560.32688214,0.1465,0.087,22950,8325015.985011851,0.0332,0.0228
1991,IV Extreme,26116,7353871.398760063,0.0378,0.0201,8486,2439359.853541864,0.0123,0.0067
1992,I Moderate,11773228,5437149728.9587145,17.034300000000002,14.8938,222514,109078617.21239384,0.3219,0.2988
1992,II Strong,1472239,585216290.6684532,2.1301,1.6031,111859,56890031.32873651,0.1618,0.1558
1992,III Severe,225539,75386430.08122134,0.3263,0.2065,22356,8590534.018844897,0.0323,0.0235
1992,IV Extreme,109391,33423503.0075878,0.1583,0.0916,14906,4638299.757592358,0.0216,0.0127
1993,I Moderate,9678143,4190095146.4251885,14.003,11.4778,229918,112612569.94801697,0.3327,0.3085
1993,II Strong,975677,375545295.59430224,1.4117,1.0287,113533,49345434.36772055,0.1643,0.1352
1993,III Severe,172196,54164615.8723313,0.2491,0.1484,22251,7613520.706896548,0.0322,0.0209
1993,IV Extreme,104352,30498647.415092614,0.151,0.0835,13660,3889871.344469967,0.0198,0.0107
1994,I Moderate,8015188,3305311246.5892944,11.5969,9.0542,246154,132010226.23950182,0.3562,0.3616
1994,II Strong,588527,184773566.41923106,0.8515,0.5061,116722,42030069.123700745,0.1689,0.1151
1994,III Severe,56676,14683484.600241106,0.082,0.0402,12721,3387332.932809999,0.0184,0.0093
1994,IV Extreme,23206,5368191.233202201,0.0336,0.0147,6747,1527117.2772300316,0.0098,0.0042
1995,I Moderate,8999583,3968509766.582576,13.0212,10.8708,282568,142949392.698834,0.4088,0.3916
1995,II Strong,821192,308248459.98156977,1.1882,0.8444,102897,53804311.41604919,0.1489,0.1474
1995,III Severe,129379,32788473.033568855,0.1872,0.0898,15965,5533277.999070121,0.0231,0.0152
1995,IV Extreme,57048,12933612.808042292,0.0825,0.0354,7517,1750777.897963756,0.0109,0.0048
