t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
1994,II Strong,2158269,1298649038.4983695,3.1227,3.5574,224440,142911884.07025498,0.3247,0.3915
1994,III Severe,286457,113875085.27409829,0.4145,0.3119,44805,25944962.766150538,0.0648,0.0711
1994,IV Extreme,194090,53072474.2440237,0.2808,0.1454,17522,6800667.636734881,0.0254,0.0186
1994,V Ice,2035865,206475649.64384305,2.9456,0.5656,77402,11374538.845311383,0.112,0.0312
1995,I Moderate,15663766,9649597595.378977,22.6633,26.4329,226810,141968174.7675053,0.3282,0.3889
1995,II Strong,1455512,844598980.1088635,2.1059,2.3136,193577,125796878.69079529,0.2801,0.3446
1995,III Severe,155278,61833843.24285099,0.2247,0.1694,25683,14700771.458232928,0.0372,0.0403
1995,IV Extreme,84597,22148966.953322053,0.1224,0.0607,6151,2317841.1634907476,0.0089,0.0063
1995,V Ice,1540653,179734127.82938334,2.2291,0.4923,79882,10474526.595382672,0.1156,0.0287
1996,I Moderate,19093155,11739149643.98752,27.6252,32.1567,195744,124348851.83873382,0.2832,0.3406
1996,II Strong,2673367,1340690404.21114,3.868,3.6725,210228,134808312.44886437,0.3042,0.3693
1996,III Severe,650796,197880149.13117683,0.9416,0.542,43760,23069706.50081528,0.0633,0.0632
1996,IV Extreme,588671,141517169.785287,0.8517,0.3877,40510,13202534.839482356,0.0586,0.0362
1996,V Ice,1301237,161491823.15326512,1.8827,0.4424,82828,11541916.158644138,0.1198,0.0316
1997,I Moderate,17576240,11123037966.49282,25.4304,30.469,189988,118390448.61940995,0.2749,0.3243
1997,II Strong,2446601,1378691649.222594,3.5399,3.7766,200747,130947738.03443532,0.2905,0.3587
1997,III Severe,409931,149321390.67650548,0.5931,0.409,42537,23575781.057194702,0.0615,0.0646
1997,IV Extreme,283806,77396703.88034825,0.4106,0.212,30555,10031301.380986547,0.0442,0.0275
1997,V Ice,1505574,174107413.49989116,2.1784,0.4769,84602,12100358.483216686,0.1224,0.0331
1998,I Moderate,17754063,10771685621.91929,25.6877,29.5066,187495,119297057.83944425,0.2713,0.3268
1998,II Strong,2812456,1482550801.3498874,4.0692,4.0611,171215,107801992.38659278,0.2477,0.2953
1998,III Severe,625180,217468992.1420095,0.9046,0.5957,40496,21557283.19331053,0.0586,0.0591
1998,IV Extreme,451537,130011989.91033821,0.6533,0.3561,38351,13370784.201494083,0.0555,0.0366
1998,V Ice,860995,148627813.92062622,1.2457,0.4071,60063,10976093.259899251,0.0869,0.0301
1999,I Moderate,22781570,14323637120.021053,32.9618,39.2364,185482,118261828.76748379,0.2684,0.324
1999,II Strong,2742110,1418254426.798518,3.9675,3.885,207339,134704107.49435902,0.3,0.369
1999,III Severe,626242,211782109.5427281,0.9061,0.5801,40678,21510445.529530767,0.0589,0.0589
1999,IV Extreme,430805,128334355.57702777,0.6233,0.3515,38414,13278833.380833382,0.0556,0.0364
1999,V Ice,2366109,223606664.99685243,3.4234,0.6125,85034,12664930.011395106,0.123,0.0347
2000,I Moderate,19095934,11669807644.546091,27.6292,31.9668,183129,118471457.49399753,0.265,0.3245
2000,II Strong,2852438,1445082454.5950685,4.1271,3.9585,208619,134454732.0512069,0.3018,0.3683
2000,III Severe,638055,247467475.9603545,0.9232,0.6779,56432,29817836.255377047,0.0816,0.0817
2000,IV Extreme,423164,143631306.22456476,0.6123,0.3934,45445,17257956.274379734,0.0658,0.0473
2000,V Ice,991844,167671051.65497753,1.4351,0.4593,72476,12421818.954659047,0.1049,0.034
2001,I Moderate,10713499,6537226249.162155,15.501,17.9073,249297,157729224.7221643,0.3607,0.4321
2001,II Strong,949039,490090399.6383367,1.3731,1.3425,140573,87631806.29810978,0.2034,0.24
2001,III Severe,191927,62627596.88280544,0.2777,0.1716,19888,9462398.925846107,0.0288,0.0259
2001,IV Extreme,167314,44418951.2964413,0.2421,0.1217,15816,5123057.146229364,0.0229,0.014
2001,V Ice,1509984,163397086.88278723,2.1847,0.4476,73403,10196597.189055137,0.1062,0.0279
2002,I Moderate,11224965,6571015879.30145,16.241,17.9998,242160,152139720.24971452,0.3504,0.4168
2002,II Strong,1119668,543397392.7804608,1.62,1.4885,151421,92879308.13886262,0.2191,0.2544
2002,III Severe,228029,72948434.63986258,0.3299,0.1998,25032,11430617.680048782,0.0362,0.0313
2002,IV Extreme,162385,43238593.21183849,0.2349,0.1184,18813,5964642.290755091,0.0272,0.0163
2002,V Ice,1179488,148395775.49454972,1.7066,0.4065,74961,10739543.769002143,0.1085,0.0294
2003,I Moderate,7844047,4632738742.794888,11.3493,12.6903,224958,144047612.17552978,0.3255,0.3946
2003,II Strong,828247,348681722.1768279,1.1984,0.9551,95550,58767298.38829651,0.1382,0.161
2003,III Severe,254107,69119087.40965118,0.3677,0.1893,14136,5711782.605489108,0.0205,0.0156
2003,IV Extreme,195885,51978227.41385104,0.2834,0.1424,18793,5732404.779026748,0.0272,0.0157
2003,V Ice,922322,140622696.78528732,1.3345,0.3852,73273,11016244.934144644,0.106,0.0302
2004,I Moderate,9144739,5544261439.83876,13.2312,15.1873,200324,129003482.89651132,0.2898,0.3534
2004,II Strong,1345576,665223059.1192969,1.9469,1.8222,140661,87204924.03614053,0.2035,0.2389
2004,III Severe,360348,135231663.1372221,0.5214,0.3704,31954,15702926.044134688,0.0462,0.043
2004,IV Extreme,222472,69736972.04195942,0.3219,0.191,31251,11261350.561575301,0.0452,0.0308
2004,V Ice,2447408,224596580.55570784,3.5411,0.6152,82881,11408406.101179231,0.1199,0.0313
2005,I Moderate,7204665,4439007284.25568,10.4242,12.1597,198158,126800279.64176568,0.2867,0.3473
2005,II Strong,910977,464238837.0974282,1.3181,1.2717,122003,72998260.36630939,0.1765,0.2
2005,III Severe,205464,81987796.49976163,0.2973,0.2246,28607,13056472.280605348,0.0414,0.0358
2005,IV Extreme,92310,30206025.722562127,0.1336,0.0827,21361,7767067.77692731,0.0309,0.0213
2005,V Ice,334602,64531583.41303529,0.4841,0.1768,31473,6056121.705601662,0.0455,0.0166
2006,I Moderate,7745212,4707143616.280694,11.2063,12.8942,209879,135106532.81651238,0.3037,0.3701
2006,II Strong,1027765,490445947.66337067,1.487,1.3435,128316,77186862.06028475,0.1857,0.2114
2006,III Severe,248774,91179463.29197559,0.3599,0.2498,28800,13523808.20405809,0.0417,0.037
2006,IV Extreme,146053,40081740.263893045,0.2113,0.1098,18303,6974795.6482230695,0.0265,0.0191
2006,V Ice,1018852,127987893.99345948,1.4741,0.3506,66604,9599359.650863651,0.0964,0.0263
2007,I Moderate,9877664,6144361258.838937,14.2916,16.8311,220724,141433083.3121464,0.3194,0.3874
2007,II Strong,917110,452396264.83126336,1.3269,1.2392,102359,61642594.729896694,0.1481,0.1689
2007,III Severe,231057,82533679.90817526,0.3343,0.2261,18056,8458760.000278318,0.0261,0.0232
2007,IV Extreme,124358,35961144.10323768,0.1799,0.0985,8851,3339538.0454268027,0.0128,0.0091
2007,V Ice,798422,192372175.75186872,1.1552,0.527,53686,12726629.021612376,0.0777,0.0349
2008,I Moderate,12215474,7669176085.024905,17.6741,21.008,236036,152138480.5664271,0.3415,0.4167
2008,II Strong,1016993,472748972.0198186,1.4715,1.295,117795,70308049.87050068,0.1704,0.1926
2008,III Severe,247936,78273471.18770643,0.3587,0.2144,20967,9343423.477081396,0.0303,0.0256
2008,IV Extreme,129068,35202627.88915103,0.1867,0.0964,9051,2986016.7877967516,0.0131,0.0082
2008,V Ice,1135322,216356465.6466501,1.6427,0.5927,81652,15586363.874432968,0.1181,0.0427
2009,I Moderate,8892589,4874432050.740529,12.8664,13.3524,213141,134806404.00551707,0.3084,0.3693
2009,II Strong,1583940,453060361.55612075,2.2917,1.2411,93951,54252246.72897624,0.1359,0.1486
2009,III Severe,675148,142035875.82449594,0.9768,0.3891,18721,8388550.765580334,0.0271,0.023
2009,IV Extreme,287240,71449705.12375334,0.4156,0.1957,10436,3695182.2253081785,0.0151,0.0101
2009,V Ice,2759672,479542259.51376814,3.9929,1.3136,120887,22242520.933668826,0.1749,0.0609
2010,I Moderate,12726603,8013860956.913106,18.4137,21.9522,196417,123510353.86418235,0.2842,0.3383
2010,II Strong,1713777,715850458.411182,2.4796,1.9609,110596,68801410.8670784,0.16,0.1885
2010,III Severe,635066,179666915.44577068,0.9189,0.4922,19225,9126192.752543295,0.0278,0.025
2010,IV Extreme,384126,115178304.02990076,0.5558,0.3155,12133,4228061.174085431,0.0176,0.0116
2010,V Ice,3944111,662075869.0769619,5.7066,1.8136,125843,23872257.278159644,0.1821,0.0654
2011,I Moderate,15069264,9632862148.598484,21.8032,26.387,208058,133589630.02290729,0.301,0.3659
2011,II Strong,1972369,975248941.1564376,2.8537,2.6715,126080,77347350.6548831,0.1824,0.2119
2011,III Severe,464783,130821320.70027116,0.6725,0.3584,26296,13057598.954711538,0.038,0.0358
2011,IV Extreme,186652,53269703.902667575,0.2701,0.1459,9695,3803867.542231965,0.014,0.0104
2011,V Ice,2385978,441189387.65312797,3.4522,1.2085,107392,19512075.087815113,0.1554,0.0534
2012,I Moderate,10085741,6353014892.462773,14.5927,17.4026,215601,140172642.70047078,0.3119,0.384
2012,II Strong,1016842,513525514.9996537,1.4712,1.4067,114378,69771788.22783604,0.1655,0.1911
2012,III Severe,206181,75639636.11907068,0.2983,0.2072,21505,10228946.066277156,0.0311,0.028
2012,IV Extreme,74047,23519359.53597502,0.1071,0.0644,8593,3175502.3178306655,0.0124,0.0087
2012,V Ice,652653,151063614.72538394,0.9443,0.4138,48439,11566556.757997056,0.0701,0.0317
2013,I Moderate,7759530,4784284492.023878,11.227,13.1055,216049,138760299.4290337,0.3126,0.3801
2013,II Strong,851361,384997356.67797613,1.2318,1.0546,94977,55191467.35336654,0.1374,0.1512
2013,III Severe,241977,78201469.70193015,0.3501,0.2142,19573,8615329.342895444,0.0283,0.0236
2013,IV Extreme,142595,37614230.37768542,0.2063,0.103,10832,3787765.456400589,0.0157,0.0104
2013,V Ice,797573,175741317.65919864,1.154,0.4814,59637,13424559.645606004,0.0863,0.0368
2014,I Moderate,7061860,4215404852.891599,10.2176,11.5471,181323,117147668.68222071,0.2623,0.3209
2014,II Strong,882779,384311442.32336646,1.2773,1.0527,82231,47106410.17683148,0.119,0.129
2014,III Severe,289316,93953053.73793373,0.4186,0.2574,19655,8391324.45952484,0.0284,0.023
2014,IV Extreme,213461,56601213.26928038,0.3088,0.155,15635,5428821.846371133,0.0226,0.0149
2014,V Ice,868544,180453489.81358728,1.2567,0.4943,59657,13368943.175685361,0.0863,0.0366
2015,I Moderate,6696587,3809199327.346448,9.6891,10.4344,184819,113939521.55440068,0.2674,0.3121
2015,II Strong,808590,350405664.7890316,1.1699,0.9599,78988,43456257.65764138,0.1143,0.119
2015,III Severe,257778,88201928.0827964,0.373,0.2416,19327,8346278.774276731,0.028,0.0229
